team,year,sixes,fours,toss_wins,runs,wins,wickets,abb
Chennai Super Kings,2008,86,244,5,2520,9,93,csk
Chennai Super Kings,2009,73,192,7,2231,8,91,csk
Chennai Super Kings,2010,98,212,10,2604,9,103,csk
Chennai Super Kings,2011,91,204,9,2560,11,91,csk
Chennai Super Kings,2012,102,223,7,2831,10,108,csk
Chennai Super Kings,2013,84,241,8,2778,12,123,csk
Chennai Super Kings,2014,112,205,10,2650,10,98,csk
Chennai Super Kings,2015,96,249,10,2725,10,113,csk
Chennai Super Kings,2018,145,211,11,2809,11,99,csk
Chennai Super Kings,2019,89,205,12,2473,10,111,csk
Chennai Super Kings,2020,75,188,8,2191,6,75,csk
Chennai Super Kings,2021,62,114,2,1285,5,48,csk
Deccan Chargers,2008,92,205,9,2229,2,67,deccan
Deccan Chargers,2009,99,173,10,2408,9,110,deccan
Deccan Chargers,2010,84,197,9,2374,8,102,deccan
Deccan Chargers,2011,48,194,6,2140,6,84,deccan
Deccan Chargers,2012,77,188,9,2312,4,83,deccan
Delhi Capitals,2008,54,218,6,2118,7,96,delhi
Delhi Capitals,2009,51,188,9,2131,10,106,delhi
Delhi Capitals,2010,58,190,8,2155,7,96,delhi
Delhi Capitals,2011,75,185,9,2087,4,67,delhi
Delhi Capitals,2012,97,232,10,2645,11,101,delhi
Delhi Capitals,2013,52,211,5,2245,3,76,delhi
Delhi Capitals,2014,63,177,4,2081,2,60,delhi
Delhi Capitals,2015,84,188,5,2168,5,74,delhi
Delhi Capitals,2016,65,179,8,2104,7,77,delhi
Delhi Capitals,2017,87,202,8,2219,6,79,delhi
Delhi Capitals,2018,115,186,8,2343,5,80,delhi
Delhi Capitals,2019,87,237,10,2529,9,111,delhi
Delhi Capitals,2020,89,237,10,2780,8,104,delhi
Delhi Capitals,2021,32,143,6,1333,5,51,delhi
Gujarat Lions,2016,63,242,8,2450,9,81,gl
Gujarat Lions,2017,92,218,7,2412,4,70,gl
Kochi Tuskers Kerala,2011,53,170,8,1901,6,74,ktk
Kolkata Knight Riders,2008,76,162,6,1942,6,70,kkr
Kolkata Knight Riders,2009,56,143,7,1772,3,59,kkr
Kolkata Knight Riders,2010,63,199,7,2144,7,73,kkr
Kolkata Knight Riders,2011,45,191,7,2023,8,88,kkr
Kolkata Knight Riders,2012,69,210,7,2504,12,107,kkr
Kolkata Knight Riders,2013,57,222,12,2290,6,97,kkr
Kolkata Knight Riders,2014,77,223,9,2499,11,95,kkr
Kolkata Knight Riders,2015,64,206,8,2044,7,79,kkr
Kolkata Knight Riders,2016,65,194,6,2263,8,94,kkr
Kolkata Knight Riders,2017,87,228,9,2484,9,96,kkr
Kolkata Knight Riders,2018,130,253,9,2759,9,97,kkr
Kolkata Knight Riders,2019,143,196,5,2473,6,57,kkr
Kolkata Knight Riders,2020,86,197,6,2222,6,70,kkr
Kolkata Knight Riders,2021,48,98,3,1110,2,38,kkr
Mumbai Indians,2008,76,197,8,2080,7,94,mi
Mumbai Indians,2009,54,145,6,1897,5,81,mi
Mumbai Indians,2010,75,261,9,2738,11,101,mi
Mumbai Indians,2011,57,221,6,2288,10,103,mi
Mumbai Indians,2012,80,219,11,2462,10,106,mi
Mumbai Indians,2013,117,253,12,2975,13,123,mi
Mumbai Indians,2014,86,197,6,2353,7,73,mi
Mumbai Indians,2015,120,242,7,2734,10,95,mi
Mumbai Indians,2016,93,185,9,2194,7,68,mi
Mumbai Indians,2017,118,225,11,2800,11,105,mi
Mumbai Indians,2018,107,204,5,2380,6,92,mi
Mumbai Indians,2019,116,230,8,2670,10,100,mi
Mumbai Indians,2020,137,224,8,2758,11,100,mi
Mumbai Indians,2021,43,88,4,1120,4,38,mi
Pune Warriors India,2011,60,154,5,1775,4,76,pwi
Pune Warriors India,2012,60,181,6,2321,4,79,pwi
Pune Warriors India,2013,76,190,9,2262,4,83,pwi
Punjab Kings,2008,95,231,8,2464,10,95,pbks
Punjab Kings,2009,61,140,6,1928,7,76,pbks
Punjab Kings,2010,58,234,5,2288,3,76,pbks
Punjab Kings,2011,74,219,10,2224,7,81,pbks
Punjab Kings,2012,61,226,8,2390,8,93,pbks
Punjab Kings,2013,65,244,7,2428,8,82,pbks
Punjab Kings,2014,127,262,7,2987,12,113,pbks
Punjab Kings,2015,79,147,7,2018,2,72,pbks
