team,year,venue,lat,lon,matches,runs,fours,sixes,two_hundreds,ten_wickets,wickets,wins,toss_wins,abb
Chennai Super Kings,2008,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,188,20,5,0,0,5,1,1,csk
Chennai Super Kings,2008,Dr DY Patil Sports Academy,19.0421,73.0267,1,163,9,7,0,0,7,0,0,csk
Chennai Super Kings,2008,Eden Gardens,22.564561349999998,88.34424156337812,1,55,8,0,0,0,5,1,0,csk
Chennai Super Kings,2008,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,178,17,8,0,1,10,1,1,csk
Chennai Super Kings,2008,Ma Chidambaram Stadium,13.0626873,80.27922739309865,7,1167,108,39,2,0,43,3,1,csk
Chennai Super Kings,2008,Punjab Cricket Association Stadium,30.6909,76.7375,1,240,20,16,1,0,4,1,1,csk
Chennai Super Kings,2008,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,148,16,3,0,0,8,1,0,csk
Chennai Super Kings,2008,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,109,12,1,0,0,2,0,1,csk
Chennai Super Kings,2008,Wankhede Stadium,18.9385497,72.82574081674653,2,272,34,7,0,0,9,1,0,csk
Chennai Super Kings,2009,Buffalo Park,-33.006837149999996,27.91952640427005,1,178,14,7,0,1,10,1,1,csk
Chennai Super Kings,2009,De Beers Diamond Oval,-28.74264205,24.796774571818183,1,141,14,4,0,0,7,1,0,csk
Chennai Super Kings,2009,Hollywoodbets Kingsmead Stadium,29.8488,31.0271,4,590,53,16,0,0,25,1,2,csk
Chennai Super Kings,2009,New Wanderers Stadium,-32.91882375,151.72649568715264,2,309,26,9,0,0,12,1,0,csk
Chennai Super Kings,2009,Newlands,55.8171461,-4.2804376,1,146,10,6,0,0,7,0,1,csk
Chennai Super Kings,2009,St George's Park,-33.965769550000005,25.60733242183312,2,330,25,10,0,1,15,2,1,csk
Chennai Super Kings,2009,SuperSport Park,-25.85962375,28.195644468871414,3,537,50,21,0,0,15,2,2,csk
Chennai Super Kings,2010,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,190,17,11,0,0,6,1,0,csk
Chennai Super Kings,2010,Brabourne Stadium,18.9320101,72.82501261609113,1,180,18,3,0,0,5,0,0,csk
Chennai Super Kings,2010,Dr DY Patil Sports Academy,19.0421,73.0267,2,310,22,12,0,1,19,2,2,csk
Chennai Super Kings,2010,Eden Gardens,22.564561349999998,88.34424156337812,1,164,16,4,0,1,10,1,1,csk
Chennai Super Kings,2010,Himachal Pradesh Cricket Association Stadium,32.1975918,76.32503371593408,1,195,22,7,0,0,3,1,1,csk
Chennai Super Kings,2010,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,135,14,3,0,0,5,0,1,csk
Chennai Super Kings,2010,Ma Chidambaram Stadium,13.0626873,80.27922739309865,7,1132,83,49,1,0,43,4,4,csk
Chennai Super Kings,2010,Narendra Modi Stadium,23.0917717,72.59733447335586,1,160,11,6,0,0,8,0,0,csk
Chennai Super Kings,2010,Vidarbha Cricket Association Stadium,21.0135768,79.03963196096828,1,138,9,3,0,0,4,0,1,csk
Chennai Super Kings,2011,Dr DY Patil Sports Academy,19.0421,73.0267,1,145,9,5,0,0,6,1,0,csk
Chennai Super Kings,2011,Eden Gardens,22.564561349999998,88.34424156337812,1,114,6,2,0,0,2,0,1,csk
Chennai Super Kings,2011,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,128,7,7,0,0,2,0,0,csk
Chennai Super Kings,2011,Ma Chidambaram Stadium,13.0626873,80.27922739309865,8,1325,101,48,1,0,56,8,6,csk
Chennai Super Kings,2011,Nehru Stadium,9.59621265,76.5261459003151,1,131,15,3,0,0,3,0,0,csk
Chennai Super Kings,2011,Punjab Cricket Association Stadium,30.6909,76.7375,1,188,18,6,0,0,4,0,0,csk
